Company Name,Legal Name,Parent Company Name,Address,City,ZIP Code,County,Phone Number Combined,Website,Linked-In,Facebook,Instagram,Executive First Name,Executive Last Name,Executive Title,Executive Gender,Executive Ethnicity,Veteran Exemption,Company Description,Column1,Primary NAICS,Primary NAICS Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,Primary SIC Code,Primary SIC Description,Last Updated On,Years In Database
100 Percent Real Trucking LLC,100 PERCENT REAL TRUCKING LLC,,9633 Saint Jerome Ln,Saint Louis,63134,St Louis,(314) 283-3887,Afex.Com,,,,,,,,Uncoded,,,,49211002,Couriers And Express Delivery Services,48423013,"Specialized Freight (Except Used Goods) Trucking,",99999005,Unclassified Establishments,,,421501,Courier Services,202101,8
108 Stitches LLC,108 STITCHES LLC,,1900a S Jefferson Ave,Saint Louis,63104,St Louis City,(314) 773-3531,108stitches.Com,,,,Eric,Ross,Owner,Male,Western Europe,,,,54149001,Other Specialized Design Services,,,,,,,738942,Embroidery,202606,12
1114 Olive LLC,ELEVEN FOURTEEN OLIVE LLC,,1114 Olive St,Saint Louis,63101,St Louis City,(314) 621-6900,,,,,,,,,Uncoded,,,,72241006,Drinking Places (Alcoholic Beverages),99999005,Unclassified Establishments,,,,,581304,Night Clubs,202206,11
1200 Block Of Purdue,,,1247 Purdue Ave,Saint Louis,63130,St Louis,(314) 721-0170,,,,,Eva,Keys,Other,Female,Western Europe,,,,54121301,Tax Preparation Services,,,,,,,729101,Tax Return Preparation & Filing,202504,18
1212 Intimate Event Space,,,18 Church St,Ferguson,63135,St Louis,(314) 546-2577,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202409,3
180 Personal Training LLC,180 PERSONAL TRAINING LLC,,565 Melville Ave # A,University City,63130,St Louis,(314) 229-2465,,,,,Barot,Ghasedi,Owner,Male,Middle Eastern,,,,71394013,Fitness And Recreational Sports Centers,81299046,All Other Personal Services,,,,,799106,Personal Trainers-Fitness,202510,12
1-800-Got-Junk? St Louis,,,6185 Olive Blvd,Saint Louis,63130,St Louis,(314) 231-5865,1800gotjunk.Com,,http://www.facebook.com/1800gotjunk,,Noah W,Lander,Owner,Male,Western Europe,,"1800-Got-Junk? Is Your Full-Service Junk Removal Company. We Offer Junk Removal Services For Your Home OR Business Including Offices, Retail Locations, Construction Sites, And More. We'Re The Junk Removal Company That Handles The Tough Stuff - And We Ensure That Your Junk Gets Recycled, Donated, OR Disposed Of Responsibly. Got Old Furniture, Appliances, Electronics, Tires, Construction Debris, OR Yard Waste You Need To Make Disappear? 1800-Got-Junk? Can Take Away Almost Any Material We Can Fit IN Our Trucks, Without You Ever Lifting A Finger. We'Ll Remove Junk From Wherever It's Located, And We Won't Leave A Dent OR Speck Of Dirt Behind. When We Say We'Re Your Full-Service Junk Removal Company, We Really Mean It. Give US A Call At 1-800-468-5865 OR Book Your Junk Removal Appointment Online . Our Friendly, Uniformed Truck Team Will Call You 15-30 Minutes Before Your Scheduled 2 Hour Arrival Window. When We Arrive, Just Point To The Junk You Want Removed And We Will Provide You With An Upfront, All-Inclusive Price.",,56221910,Other Nonhazardous Waste Treatment And Disposal,56211901,Other Waste Collection,56221202,Solid Waste Landfill,56221908,Other Nonhazardous Waste Treatment And Disposal,495326,Junk Removal,202409,17
1860 Saloon Game Room,,,1860 S 9th St,Saint Louis,63104,St Louis City,(314) 231-1860,1860saloon.Com,,https://www.facebook.com/pages/1860-saloon-the-best-live-blues-music-in-st-louis/107130429353983,,,,,,Uncoded,,"Three Great Experiences IN One Location!enjoy The Best IN Live Blues, Classic Rock And Motown IN The Saloon. With A Vintage Back Bar And Wood Floors, Relax And Enjoy Talented St. Louis And Midwestern Musicians!the Game Room, With Its High Wood-Beamed Ceiling, Wall Of Windows And Large Brick Fireplace Is A Fun And Relaxing Experience For All. Please Stop By And Enjoy Foosball, Shuffleboard, Darts And More For A Unique Place To Relax With Friends.At The Hardshell Cafe, Dine IN An Outdoor Garden Environment. The Expansive Menu Of American And Cajun Specialties Offers A Wonderful Culinary Experience IN A Setting Featuring A 300 Gallon Fish Tank And The Giant Jesters! Eat IN Any Of The 3 Rooms.",,72251117,Full-Service Restaurants,72241001,Drinking Places (Alcoholic Beverages),72241008,Drinking Places (Alcoholic Beverages),71151004,"Independent Artists, Writers, And Performers",581208,Restaurants,202507,26
1st Global Air Duct Cleaning,,,2916 Ohio Ave,Saint Louis,63118,St Louis City,(314) 718-3632,1stglobalairductcleaning.Com,,,,Mor,Galili,Vice President,,Not Available,,,,23899092,All Other Specialty Trade Contractors,,,,,,,734903,Ventilating Systems-Cleaning,202606,4
1st Impression,1ST IMPRESSION INC,,1312 Rutger Ln,Saint Louis,63104,St Louis City,(314) 503-2508,1stimpression-Inc.Com,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202007,8
1st Priority Drain Cleaning-Mr,1ST PRIORITY LLC,,8325 Flora Ave,Saint Louis,63114,St Louis,(314) 599-8071,1stprioritydraincleaningandmore.Com,,https://www.facebook.com/1st-priority-drain-cleaning-and-more-146742902581070,,,,,,Uncoded,,,,56299102,Septic Tank And Related Services,23711012,Water And Sewer Line And Related Structures Constr,23711018,Water And Sewer Line And Related Structures Constr,23822025,"Plumbing, Heating, And Air-Conditioning Contractor",769902,Plumbing Drain & Sewer Cleaning,202206,14
2 Clean 4u LLC,2 CLEAN 4U LLC,,3627 Boswell Ave,Saint Louis,63114,St Louis,Not Available,,,,,,,,,Uncoded,,,,56172001,Janitorial Services,99999005,Unclassified Establishments,,,,,734902,Janitor Service,202307,7
2 Girls 4 Wheels,,,,Saint Louis,63101,St Louis City,(618) 363-8154,Stlfta.Com,,https://facebook.com/1060242660511236,,,,,,Uncoded,,,,72251301,Limited-Service Restaurants,44133043,Automotive Parts And Accessories Retailers,72233002,Mobile Food Services,,,581206,Foods-Carry Out,202606,5
200 RW Inc,200 RW INC,,813 Montgomery St,Saint Louis,63102,St Louis City,Not Available,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202010,12
20-It Svc,,,100 S 4th St # 550,Saint Louis,63102,St Louis City,(314) 461-1967,The20msp.Com,,,,Tim,Conkle,CEO,Male,Western Europe,,"'''we'Re The 20 Msp, Your Friendly Neighborhood It Managed Services And Technology Consulting Firm.With A Hefty 30 Years Of Experience, We'Ve Been The Tech Wizards Behind Countless Businesses, Providing Solutions That Are Nothing Short Of Expert.Here's The Deal We'Re All About Fully Managed It Services. Think Of US As Your 24/7 Guardians, Constantly Watching Your It Infrastructure.Our Technical Engineers And Consultants Are Pros At Network Design, Support, Backup And Disaster Recovery, Cloud Services, Virtualization, Project Management, And Storage Solutions.Yes, We Do It All!but Here's The Best Part: We'Re Known For Crafting Affordable, Advanced Solutions That Are Tailor-Made For Your Business.'''",,54151109,Custom Computer Programming Services,54151905,Other Computer Related Services,54151903,Other Computer Related Services,56162109,Security Systems Services (Except Locksmiths),737109,Information Technology Services,202606,3
